	logFC	logCPM	F	PValue	FDR
TNPO3	12.5326325878795	7.00947350411466	3771.03596924365	2.27680779880786e-24	6.71140068148155e-22
PAPD4	13.3408228247707	6.35013134145595	3770.91475691858	2.28008014326427e-24	6.71140068148155e-22
MTRF1L	14.9977703369725	5.63216707974699	3750.13038676472	2.4193976981268e-24	6.71140068148155e-22
MAN1A2	12.4715843716349	7.48321222546354	3731.71803648164	2.52757360017195e-24	6.71140068148155e-22
MAPKAP1	13.4535318550393	6.72024234121448	3731.6316609755	2.53039068876116e-24	6.71140068148155e-22
SACM1L	14.1497571691741	6.20443474884316	3716.46626929414	2.63843782650457e-24	6.71140068148155e-22
AAGAB	13.4123273838887	6.93589765429285	3709.40513457469	2.68579887394596e-24	6.71140068148155e-22
KIAA0196	13.7347582866982	6.2274640265308	3700.98636117451	2.75010870072409e-24	6.71140068148155e-22
RNF10	13.7631965895493	6.6692262200445	3700.16007886517	2.75433239228012e-24	6.71140068148155e-22
RTF1	13.2904043962947	6.47504151067204	3699.64482475329	2.75863718914267e-24	6.71140068148155e-22
EIF4E2	13.9002789979583	6.53276038451272	3692.74175486911	2.8114342505727e-24	6.71140068148155e-22
DR1	13.6842090487384	6.3929957058222	3690.33515532488	2.8299846200042e-24	6.71140068148155e-22
IK	12.6563099584168	7.42971450959844	3683.5224211176	2.87879446960513e-24	6.71140068148155e-22
ISY1	15.0219537070765	5.09453804364714	3685.35369642907	2.89587817725594e-24	6.71140068148155e-22
SLC35E1	13.7446153250099	6.17421998198147	3673.73746957486	2.96132068161067e-24	6.71140068148155e-22
PDCL	14.3694198120425	5.56834727800053	3671.40496580941	2.99037474919972e-24	6.71140068148155e-22
EIF2AK4	13.3967646726308	6.59182979183526	3667.1259582644	3.01332174196964e-24	6.71140068148155e-22
WAC	11.9895324274039	8.2088025249383	3664.80731888134	3.02843873379218e-24	6.71140068148155e-22
FBXO38	13.1956404648085	6.46884282780844	3663.46829262542	3.04406788535889e-24	6.71140068148155e-22
FAM32A	14.2660420804552	6.55003562631873	3662.6777886288	3.05087171744673e-24	6.71140068148155e-22
ARIH1	12.5224020724407	7.13246775365531	3644.85535864939	3.20030286780153e-24	6.922788486866e-22
ANAPC5	13.2063732747151	6.44579813628168	3632.10318448241	3.31764399328725e-24	7.03970457710717e-22
ZBED5	13.4333416063108	6.2740988047337	3615.07805489364	3.47862222485265e-24	7.03970457710717e-22
CTR9	13.6086189001742	6.50918291769253	3613.0559276765	3.49733347290234e-24	7.03970457710717e-22
TRAPPC11	13.1152134047279	6.75538772295658	3607.08831594413	3.553908930507e-24	7.03970457710717e-22
C5orf44	14.3030413376941	5.27508108416149	3608.62361918012	3.56367263895571e-24	7.03970457710717e-22
ZNF791	14.7058677748226	5.34244706613819	3606.83263621293	3.57978659441462e-24	7.03970457710717e-22
ATP2C1	11.9243944552341	7.6737533233819	3574.09553184406	3.89283487016608e-24	7.54106026565457e-22
DDX19B	14.4973238468724	5.52403651998394	3543.67717327137	4.26435782413325e-24	8.01370113474695e-22
KCTD20	12.7275741205778	6.68851886440785	3534.85742770552	4.35132754246104e-24	8.01370113474695e-22
MRRF	14.1276006855414	5.59739492424615	3530.66448758829	4.42126584014356e-24	8.01370113474695e-22
KPNA4	12.1681393488215	7.58740561811166	3526.07842606602	4.45705826802006e-24	8.01370113474695e-22
UBA5	13.9864662344016	6.00236896740272	3525.82889971849	4.47250163633051e-24	8.01370113474695e-22
RTCA	13.8925243109464	6.28230497627698	3518.16444024315	4.56512448136055e-24	8.01370113474695e-22
SNX1	13.5288307268476	6.61579215963617	3517.70810374045	4.56902599561811e-24	8.01370113474695e-22
PPP2R2D	15.0480003235041	5.05216880897758	3507.14604216111	4.75864108559972e-24	8.23498701999983e-22
DUSP11	15.2406000533358	4.77855290325194	3502.78463934911	4.84764786761745e-24	8.27863443076406e-22
PGGT1B	14.2336775652472	6.37736249523849	3486.82727385161	4.99254188800408e-24	8.36285574118831e-22
COPS5	14.0605770073528	5.88291820974177	3482.21482051261	5.06754375535203e-24	8.36285574118831e-22
CNOT2	12.8345822659844	6.94034932981612	3479.76909187309	5.09026584138898e-24	8.36285574118831e-22
STXBP2	14.9819840444522	5.26118773135385	3467.75279468063	5.31083175650673e-24	8.466320739333e-22
INTS2	13.9126949618535	5.42496385768177	3463.90487836148	5.35923118158602e-24	8.466320739333e-22
DGUOK	16.4323341664231	3.60251349655846	3495.56348968254	5.38967515605832e-24	8.466320739333e-22
CUL2	13.557599726577	6.20410765780298	3457.94702771855	5.42663619284748e-24	8.466320739333e-22
RBM22	13.5048936900666	6.31889594308619	3454.5781358818	5.47939704217561e-24	8.466320739333e-22
C10orf76	14.8923213086785	5.19709251276072	3424.58142863693	6.02338774714241e-24	9.00953513258418e-22
MYNN	14.7539496802915	5.07645022981247	3418.18397775585	6.14754267622264e-24	9.00953513258418e-22
AP3M1	13.6219080923945	6.25411570414291	3409.96745242597	6.24054432215104e-24	9.00953513258418e-22
FCF1	14.6949066739411	4.99437630873607	3404.86785771618	6.40193276084326e-24	9.00953513258418e-22
USP15	12.8663248664994	7.25763181084811	3386.37989501746	6.67977531455768e-24	9.00953513258418e-22
GTF3C2	13.5604619453094	5.97502415203013	3380.10642457766	6.82179297722991e-24	9.00953513258418e-22
OPA1	12.2383751413557	8.02377527261462	3379.03876654175	6.82430861628863e-24	9.00953513258418e-22
MTDH	11.5151708072574	8.51637828475753	3373.35963014282	6.93914830703162e-24	9.00953513258418e-22
PPP3CB	14.6506935974717	5.72450823440637	3373.54319373224	6.96736727580024e-24	9.00953513258418e-22
UROD	15.7751147604526	4.55775700768242	3380.22576493834	6.97927864924797e-24	9.00953513258418e-22
IVD	14.3990791932825	5.46961226235344	3373.01123745594	6.98962129474057e-24	9.00953513258418e-22
OTOP2	27.3968751733192	3.44712809596215	1193.50655315989	7.06258973948518e-24	9.00953513258418e-22
COG7	15.7252072764789	4.56617964960587	3374.51558179897	7.09755091355513e-24	9.00953513258418e-22
SPOP	13.8589671386878	6.20373257320905	3365.89205210439	7.10904741637495e-24	9.00953513258418e-22
CUL5	13.468844804328	6.70592434575072	3365.36872620365	7.11403889579807e-24	9.00953513258418e-22
VWA9	13.6150844640395	5.8876704650376	3361.1122795766	7.22124543139959e-24	9.00953513258418e-22
DNTTIP2	12.4713738726666	7.15142514496776	3356.48614398327	7.3002122059045e-24	9.00953513258418e-22
QRICH1	13.3803485349347	6.44774605777516	3356.10272805896	7.31449062476277e-24	9.00953513258418e-22
FBXW2	12.9225956391209	6.85649478746539	3354.45522633814	7.3484373765899e-24	9.00953513258418e-22
FBXO18	13.7399853369565	6.36516595557109	3354.23593115447	7.35762489532225e-24	9.00953513258418e-22
SENP5	13.2409251961734	6.19389760609432	3352.94788037285	7.38833960107105e-24	9.00953513258418e-22
SENP2	14.7088886988971	5.32724564947759	3353.29996869946	7.42237417596239e-24	9.00953513258418e-22
TAOK2	13.8847171072597	5.91977345167867	3342.51561168044	7.6307512862309e-24	9.00953513258418e-22
EAF1	14.0774942092761	6.08214945953876	3339.93327901467	7.68744202226244e-24	9.00953513258418e-22
MAP2K7	15.564347431088	4.22783849360032	3348.98833641127	7.76494582698045e-24	9.00953513258418e-22
ANKRD40	14.1709597151754	6.09149344973612	3334.19583714461	7.82098999520634e-24	9.00953513258418e-22
COL4A3BP	14.0108216467316	5.72693278446606	3330.89363592852	7.9087145324327e-24	9.00953513258418e-22
CTDSP2	13.1036893515103	7.29010094945937	3325.73047344653	8.00251778049405e-24	9.00953513258418e-22
PPHLN1	13.4371986035259	5.90355475221926	3325.45340722748	8.03375553416989e-24	9.00953513258418e-22
TRIM32	15.016168322731	4.41234879867883	3333.5592965679	8.05643346421919e-24	9.00953513258418e-22
EXOC1	12.5960388141642	7.00883069256033	3319.31601153773	8.16159345588309e-24	9.00953513258418e-22
UBE2V2	14.3643975039328	5.62986199232556	3320.54011014672	8.16643911826472e-24	9.00953513258418e-22
SDF4	13.5649932874605	7.03351367219251	3318.53543147704	8.18202621408365e-24	9.00953513258418e-22
FAM35A	13.5149256235235	6.55939791701245	3313.83460077697	8.30275720993002e-24	9.00953513258418e-22
RARS	12.3837671279533	7.35883891527393	3311.43905753628	8.355476984023e-24	9.00953513258418e-22
PTPN9	14.6159669284946	5.6942675259932	3307.08089130816	8.50222359455166e-24	9.00953513258418e-22
DCAF12	13.7836416356796	6.05833884479431	3304.23337838665	8.55819571945657e-24	9.00953513258418e-22
NSFL1C	14.8240185147303	5.41963744382872	3305.53015511562	8.56047380883291e-24	9.00953513258418e-22
POLR2B	11.9167047500562	7.83991120103142	3302.71824602688	8.57646033300178e-24	9.00953513258418e-22
SRPK2	13.0383390774064	6.25191623142995	3302.12313561007	8.60761504307295e-24	9.00953513258418e-22
TBC1D22B	16.7390585314993	3.96357219202079	3321.61639895248	8.68735946395155e-24	9.02025907861017e-22
MRPL46	15.3296303583824	4.44920094136024	3303.1835108259	8.8113104265619e-24	9.06700899696141e-22
VPS4A	14.6295288640391	5.89614826743807	3292.66370399296	8.87210218517682e-24	9.06700899696141e-22
ALDH18A1	12.6046083125649	7.09541819430286	3286.19572932823	9.02146903874059e-24	9.11517507080923e-22
MTO1	14.5684836612461	5.34693971400369	3282.81327904955	9.17646153291886e-24	9.11517507080923e-22
HAUS2	14.6664630742108	4.82162239214073	3284.29120978593	9.21703969705276e-24	9.11517507080923e-22
SP3	12.0470615992146	7.94681402120467	3275.30531565334	9.32201593451879e-24	9.11517507080923e-22
WDR55	14.4671122565052	5.54236720388609	3275.87257490468	9.35522378447648e-24	9.11517507080923e-22
FAM40A	14.1066215444369	5.34984307258846	3275.36074579979	9.38751266369607e-24	9.11517507080923e-22
SPTY2D1	13.640865174601	6.55103921677815	3272.58994743558	9.41084412888849e-24	9.11517507080923e-22
SDAD1	12.4188791874593	6.9571805337312	3260.37750132149	9.76447894447159e-24	9.35958667626604e-22
AZI2	14.6135838300421	5.71671545302463	3257.30574439933	9.89376002704847e-24	9.35958667626604e-22
ABI1	12.8445594602116	7.35867606715468	3254.18870798659	9.94676326825593e-24	9.35958667626604e-22
GTF2E2	14.2913197849357	5.37357921796615	3255.71189990991	9.96592165718793e-24	9.35958667626604e-22
SRP54	13.3497057030224	6.90226144675276	3251.895067377	1.00237502735263e-23	9.35958667626604e-22
SMARCD1	14.2021896852589	5.30664265704782	3249.89914871093	1.01557358187504e-23	9.4002072857129e-22
RAB18	14.0233358382379	6.60007301120865	3246.01293352008	1.02121059194508e-23	9.4002072857129e-22
STXBP3	13.3380126938054	6.78086664403057	3242.30926621486	1.03244451163494e-23	9.42305844880642e-22
TBC1D15	13.7101311737339	5.91964018549264	3240.60684667026	1.04024678580646e-23	9.42305844880642e-22
QTRTD1	13.436454153577	5.71592735383391	3239.37196161962	1.04547377812476e-23	9.42305844880642e-22
TRIM27	13.5726726268868	5.8132257249235	3228.49273060576	1.08027047520179e-23	9.62713438189807e-22
SIKE1	13.5221797413883	6.60075758960298	3226.95652735113	1.0829506277503e-23	9.62713438189807e-22
RAB14	13.1186026715684	7.26254008207542	3216.92325549926	1.11626088007246e-23	9.85574827378262e-22
MBD1	14.6485604234381	5.46733747655011	3209.29429193233	1.14968695849795e-23	1.00012263821886e-21
TOPORS	13.6233593325518	6.33646848861739	3207.14572981333	1.15230378912158e-23	1.00012263821886e-21
ATF2	13.7191207306047	6.23682135028153	3206.16115906477	1.15592134673072e-23	1.00012263821886e-21
DHX29	13.3660857708924	6.6379345267458	3202.16363377013	1.16976136959483e-23	1.00012263821886e-21
ZDHHC7	14.4605751553071	6.44667323217045	3199.77529659443	1.17890042698421e-23	1.00012263821886e-21
PIAS1	14.3188043712046	5.7900338542916	3199.57519266042	1.18208341212025e-23	1.00012263821886e-21
GAPVD1	12.9301545212815	6.97700446160373	3196.48115389077	1.19019070847333e-23	1.00012263821886e-21
TFIP11	14.1703409735811	5.47378410158819	3196.98861849286	1.19438330321229e-23	1.00012263821886e-21
PIK3CA	13.8726418111331	6.01746397127105	3184.68287696233	1.23759457310891e-23	1.0243501510838e-21
DCP1A	13.7773624783846	5.8881206392148	3184.43666678918	1.23910142322333e-23	1.0243501510838e-21
