	SYMBOL	ENTREZID
258	RPS6KB2	6199
259	STAM	8027
260	PEX13	5194
261	PANK3	79646
262	STRN	6801
263	MRPL44	65080
264	RBM27	54439
265	OPA3	80207
266	NUP98	4928
267	TMOD3	29766
268	AGGF1	55109
269	HIF1AN	55662
270	PPP6R3	55291
271	USP8	9101
272	MFF	56947
273	TDRD7	23424
274	JMJD8	339123
275	ZNF398	57541
276	FAM91A1	157769
277	DNAJC21	134218
278	TUBGCP2	10844
279	TAOK3	51347
280	MTCH1	23787
281	LLPH	84298
282	SPCS2	9789
283	FBXW11	23291
284	PTGFRN	5738
285	PKNOX1	5316
286	SBF2	81846
287	ELF2	1998
288	DUSP3	1845
289	GFOD2	81577
290	UBTF	7343
291	EIF1AD	84285
292	EPS15	2060
293	GSTCD	79807
294	METTL14	57721
295	MSL2	55167
296	ATG13	9776
297	SETD7	80854
298	RNF146	81847
299	MFN1	55669
300	CPSF2	53981
301	RPS19BP1	91582
302	PLEKHA3	65977
303	CNOT10	25904
304	ZBTB6	10773
305	AKT1	207
306	ACTR6	64431
307	CUL3	8452
308	SGTA	6449
309	BCAS2	10286
310	AGK	55750
311	SSNA1	8636
312	FLII	2314
313	GPR75-ASB3	100302652
314	FRG1	2483
315	MTA2	9219
316	UBR7	55148
317	CLCC1	23155
318	PLRG1	5356
319	COQ7	10229
320	FOXN2	3344
321	DIABLO	56616
322	ARHGAP1	392
323	AGTPBP1	23287
324	TALDO1	6888
325	DDX50	79009
326	ZKSCAN5	23660
327	ITGB1BP1	9270
328	GMCL1	64395
329	CCDC125	202243
330	STRBP	55342
331	KHNYN	23351
332	ISY1-RAB43	100534599
333	DHX57	90957
334	RPAP3	79657
335	SPIN1	10927
336	CSNK1G1	53944
337	PARN	5073
338	LONP2	83752
339	FKBP15	23307
340	DDX24	57062
341	CEPT1	10390
342	SLC25A32	81034
343	ANKRD13C	81573
344	DIP2B	57609
345	POLR2E	5434
346	CHTF8	54921
347	PSMD7	5713
348	SUDS3	64426
349	SMU1	55234
350	RBM23	55147
351	PSMC6	5706
352	GSK3B	2932
353	WDR20	91833
354	DLG1	1739
355	GLRX3	10539
356	DDX41	51428
357	ENY2	56943
358	TMEM87A	25963
359	BACH1	571
360	DYNC1LI1	51143
361	THOC7	80145
362	SLC39A9	55334
363	GCC1	79571
364	STK25	10494
365	PHTF1	10745
366	WDR75	84128
367	YTHDF3	253943
368	CYFIP1	23191
369	ADPGK	83440
370	RPP14	11102
371	MAPK9	5601
372	CCDC47	57003
373	TRIM26	7726
374	ZFAND2B	130617
375	UBE2Z	65264
376	GORASP1	64689
377	RARS2	57038
378	SNW1	22938
379	CHCHD7	79145
380	EDC4	23644
381	NSMAF	8439
382	TTC4	7268
383	RABGEF1	27342
384	STAT6	6778
385	DNM1L	10059
386	RYK	6259
387	NSMCE4A	54780
388	TSR3	115939
389	INPP5A	3632
390	ZDHHC6	64429
391	CHIC2	26511
392	SHOC2	8036
393	CNOT8	9337
394	ASH2L	9070
395	ZCCHC9	84240
396	CRY1	1407
397	NFYB	4801
398	ZSWIM6	57688
399	SUOX	6821
400	AASDHPPT	60496
401	WDFY1	57590
402	CIAO1	9391
403	ZNF189	7743
404	TRA2B	6434
405	PPIP5K2	23262
406	PPP2R3C	55012
407	RAB3GAP1	22930
408	POLR2H	5437
409	ERLIN1	10613
410	KATNBL1	79768
411	STRN3	29966
412	ZNF394	84124
413	ZC3HAV1	56829
414	NUDT9	53343
415	SLC38A10	124565
416	SUFU	51684
417	UNC45A	55898
418	SCYL1	57410
419	NEK9	91754
420	MAP4K5	11183
421	RICTOR	253260
422	CAPN7	23473
423	TRAF3IP1	26146
424	TOX4	9878
425	MTRR	4552
426	ING3	54556
427	USP33	23032
428	MRPS22	56945
429	STX18	53407
430	ORC3	23595
431	SHQ1	55164
432	BLOC1S6	26258
433	RAB35	11021
434	DYRK1A	1859
435	MRPL18	29074
436	CLK3	1198
437	LARP4	113251
438	TSPAN14	81619
439	CDK13	8621
440	RIOK2	55781
441	UBXN4	23190
442	CPSF3	51692
443	GPBP1	65056
444	SRP14	6727
445	STAMBP	10617
446	CCNT1	904
447	DDX23	9416
448	SLC9A6	10479
449	COG4	25839
450	RAD17	5884
451	MED8	112950
452	ARFIP2	23647
453	RWDD1	51389
454	HPS6	79803
455	TOR1A	1861
456	PRDM4	11108
457	PICALM	8301
458	NT5C	30833
459	PAPOLG	64895
460	CWC22	57703
461	BIRC2	329
462	TFAM	7019
463	RAB7A	7879
464	SMAD1	4086
465	ZRANB1	54764
466	MED6	10001
467	MFSD9	84804
468	PIN1	5300
469	CNBP	7555
470	PRKCI	5584
471	ZYG11B	79699
472	UBTD2	92181
473	VPS39	23339
474	RANBP9	10048
475	FOXJ3	22887
476	KPNA1	3836
477	GTF2A2	2958
478	CDK9	1025
479	UBR3	130507
480	DDX47	51202
481	CCDC50	152137
482	TERF2IP	54386
483	ATE1	11101
484	TMED9	54732
485	ZNF562	54811
486	UBN1	29855
487	LRRC57	255252
488	NFYC	4802
489	PSMD5	5711
490	PRPF18	8559
491	VHL	7428
492	PARL	55486
493	DCK	1633
494	GPBP1L1	60313
495	ATG3	64422
496	CDC23	8697
497	ATP6V1H	51606
498	PRMT2	3275
499	DLST	1743
500	NUDT16	131870
501	ALG9	79796
502	FAR1	84188
503	ZBTB8OS	339487
504	PRR13	54458
505	DCAF17	80067
506	WIPI2	26100
507	SEC62	7095
508	GANAB	23193
509	GDAP2	54834
510	VPS26B	112936
511	TEX2	55852
512	HDAC3	8841
513	CHM	1121
514	MRPL23	6150
515	THAP1	55145
516	TRIM44	54765
517	RBM18	92400
518	CNOT4	4850
519	PAF1	54623
520	UBP1	7342
521	TIMM23	100287932
522	TRIM35	23087
523	ZC3H7A	29066
524	LYSMD3	116068
525	UBE4A	9354
526	TRIOBP	11078
527	TSFM	10102
528	AIMP1	9255
529	CRK	1398
530	ASB7	140460
531	ACBD3	64746
532	RSBN1L	222194
533	SLC25A13	10165
534	MRPL33	9553
535	RAP1A	5906
536	C12orf43	64897
537	SF3A1	10291
538	ECD	11319
539	CYP20A1	57404
540	DNAJC8	22826
541	TSTD2	158427
542	PSMD13	5719
543	FAM219B	57184
544	MRPL20	55052
545	NUP54	53371
546	ZC3H7B	23264
547	COMMD2	51122
548	MKRN2	23609
549	ERCC4	2072
550	ZDHHC16	84287
551	PHF12	57649
552	MEF2A	4205
553	FBXO9	26268
554	TBC1D23	55773
555	TBCCD1	55171
556	COQ4	51117
557	MON1B	22879
558	ARPC4	10093
559	KRR1	11103
560	ZNF92	168374
561	CUL1	8454
562	DCTN2	10540
563	ARHGAP19	84986
564	UBE3B	89910
565	RPF1	80135
566	RHBDD1	84236
567	CDC27	996
568	SCAF11	9169
569	ANKRD28	23243
570	METTL2B	55798
571	TTC23	64927
572	TMEM69	51249
573	SMURF1	57154
574	GTF2E1	2960
575	TMTC3	160418
576	SNAP29	9342
577	IFNAR2	3455
578	HDAC8	55869
579	PTOV1	53635
580	LSM14B	149986
581	UBE3C	9690
582	RINT1	60561
583	KLHL8	57563
584	BAG4	9530
585	KCTD2	23510
586	ARAF	369
587	SNX17	9784
588	AGFG1	3267
589	PDSS2	57107
590	HEATR5B	54497
591	ARCN1	372
592	UBE2J2	118424
593	NEK4	6787
594	DCTN4	51164
595	WDSUB1	151525
596	CLASP2	23122
597	ESYT1	23344
598	ANAPC10	10393
599	NFX1	4799
600	NSMCE2	286053
601	LRRC58	116064
602	PPP1R2	5504
603	UBXN2B	137886
604	PITPNM1	9600
605	AHCYL1	10768
606	C2orf49	79074
607	BFAR	51283
608	FADD	8772
609	STUB1	10273
610	PARG	8505
611	SLC33A1	9197
612	ZMAT2	153527
613	MAP3K7	6885
614	IGFBP4	3487
615	SNIP1	79753
616	SEC61A1	29927
617	BTBD10	84280
618	KIAA1143	57456
619	RAB1A	5861
620	PSMA4	5685
621	UXS1	80146
622	ALG6	29929
623	UTP18	51096
624	POLR2K	5440
625	RAB12	201475
626	LARP4B	23185
627	MFAP1	4236
628	CEP120	153241
629	TMF1	7110
630	ZNF800	168850
631	PPM1B	5495
632	RAB2B	84932
633	MTMR14	64419
634	RAF1	5894
635	VPS8	23355
636	RANBP3	8498
637	LRRC8D	55144
638	TACO1	51204
639	THAP11	57215
640	CAND1	55832
641	EMC8	10328
642	ATXN1L	342371
643	ZNF131	7690
644	SASH1	23328
645	RLF	6018
646	CERS5	91012
647	RC3H2	54542
648	KAT7	11143
649	BSDC1	55108
650	SLC44A2	57153
651	GLYR1	84656
652	HPS5	11234
653	LMAN2L	81562
654	FAF2	23197
655	COA5	493753
656	METTL2A	339175
657	TLE4	7091
658	MAPK1	5594
659	ARF6	382
660	CCM2	83605
661	DBR1	51163
662	COG1	9382
663	ZFR	51663
664	DAXX	1616
665	CCDC93	54520
666	C9orf78	51759
667	TAF2	6873
668	RING1	6015
669	USP47	55031
670	TNPO1	3842
671	CHMP1A	5119
672	DERL1	79139
673	PDAP1	11333
674	ASCC1	51008
675	MCRS1	10445
676	AVL9	23080
677	TIMM44	10469
678	PSMC3	5702
679	PSMC1	5700
680	MAML1	9794
681	MGAT1	4245
682	BBS7	55212
683	ALG12	79087
684	GPS2	2874
685	UBQLN1	29979
686	KLHL15	80311
687	TLN1	7094
688	GFM2	84340
689	VPS33A	65082
690	PLA2G12A	81579
691	ABCF2	10061
692	KPNA6	23633
